Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Pull Up Method,default_hparams,default_hparams,,,, method default_hparams from the module txtgen/modules/encoders/rnn_encoders.py in class ForwardRNNEncoder was moved to class EncoderBase of module txtgen/modules/encoders/encoder_base.py ,2b858e6f082db57d94bb515cceb149b3856f03b4,,,,txtgen/modules/encoders/rnn_encoders.py/ForwardRNNEncoder,txtgen/modules/encoders/encoder_base.py/EncoderBase,55.0,34.0
Remove Parameter,_make_output_layer_from_tensor,_make_output_layer_from_tensor,texar/modules/decoders/transformer_decoders.py/TransformerDecoder,160.0,164.0,['The parameters [ vocab_size ] of the method _make_output_layer_from_tensor from the module texar/modules/decoders/transformer_decoders.py in class TransformerDecoder is/are removed'],2e2201f57c37c6a0f668e7e7958ce7ac4ce5e755,,,,,,,
Change/Rename Parameter,__init__,__init__,texar/agents/pg_agent.py/PGAgent,25.0,26.0,['The parameters [ policy_mode ] of the method __init__ from the module texar/agents/pg_agent.py in class PGAgent are changed/renamed to [policy_caller_kwargs]'],2e7fa347fe43098538160d49beaef6ebdf056d69,,,,,,,
Rename Method,_build,build,texar/models/model_base.py/ModelBase,32.0,35.0,['The method _build from the module texar/models/model_base.py in class ModelBase is renamed to build'],3201d1adb2f21542fa26e63b7b855dad9f52608b,,,,,,,
Add Parameter,__init__,__init__,texar/agents/agent_base.py/AgentBase,19.0,19.0,['The parameters [ actions state_shape ] are added to the method __init__ from the module texar/agents/agent_base.py in class AgentBase'],348fe606caf81291f9122e3d0cd68868009e181d,,,,,,,
Change/Rename Parameter,perceive,perceive,texar/agents/agent_base.py/AgentBase,41.0,45.0,['The parameters [ action ] of the method perceive from the module texar/agents/agent_base.py in class AgentBase are changed/renamed to [action_id]'],348fe606caf81291f9122e3d0cd68868009e181d,,,,,,,
Add Parameter,_build,_build,texar/modules/encoders/rnn_encoders.py/UnidirectionalRNNEncoder,351.0,385.0,['The parameters [ return_output_size ] are added to the method _build from the module texar/modules/encoders/rnn_encoders.py in class UnidirectionalRNNEncoder'],3497526703e85981f39b643e923dcb1e40eec366,,,,,,,
Add Parameter,_build,_build,texar/modules/encoders/rnn_encoders.py/BidirectionalRNNEncoder,712.0,763.0,['The parameters [ return_output_size ] are added to the method _build from the module texar/modules/encoders/rnn_encoders.py in class BidirectionalRNNEncoder'],3497526703e85981f39b643e923dcb1e40eec366,,,,,,,
Add Parameter,_forward_output_layers,_forward_output_layers,texar/modules/encoders/rnn_encoders.py,115.0,121.0,['The parameters [ input_size ] are added to the method _forward_output_layers from the module texar/modules/encoders/rnn_encoders.py'],3497526703e85981f39b643e923dcb1e40eec366,,,,,,,
Add Parameter,flatten,flatten,texar/utils/shapes.py,216.0,216.0,['The parameters [ flattened_dim ] are added to the method flatten from the module texar/utils/shapes.py'],3497526703e85981f39b643e923dcb1e40eec366,,,,,,,
Remove Parameter,_process_dataset,_process_dataset,texar/data/data/paired_text_data.py/PairedTextData,145.0,145.0,['The parameters [ dataset ] of the method _process_dataset from the module texar/data/data/paired_text_data.py in class PairedTextData is/are removed'],35e294c9f6f3e0c719acd4bb9d8efe1058552492,,,,,,,
Add Parameter,_build,_build,texar/modules/decoders/transformer_decoders.py/TransformerDecoder,135.0,134.0,['The parameters [ mode ] are added to the method _build from the module texar/modules/decoders/transformer_decoders.py in class TransformerDecoder'],36ce15cd6b8d07cb87e4e416b304d052c343adb5,,,,,,,
Add Parameter,_self_attention_stack,_self_attention_stack,texar/modules/decoders/transformer_decoders.py/TransformerDecoder,210.0,211.0,['The parameters [ mode ] are added to the method _self_attention_stack from the module texar/modules/decoders/transformer_decoders.py in class TransformerDecoder'],36ce15cd6b8d07cb87e4e416b304d052c343adb5,,,,,,,
Remove Parameter,_build,_build,texar/modules/encoders/transformer_encoders.py/TransformerEncoder,131.0,131.0,['The parameters [ encoder_padding ] of the method _build from the module texar/modules/encoders/transformer_encoders.py in class TransformerEncoder is/are removed'],36ce15cd6b8d07cb87e4e416b304d052c343adb5,,,,,,,
Rename Method,greey_softmax,greedy_softmax,txtgen/models/tsf/ops.py,78.0,77.0,['The method greey_softmax from the module txtgen/models/tsf/ops.py is renamed to greedy_softmax'],36f4b18340e2974cfee80e5c347bf7ae7459ab88,,,,,,,
Add Parameter,_build,_build,texar/modules/encoders/hierarchical_encoders.py/HierarchicalRNNEncoder,169.0,169.0,['The parameters [ sequence_length_major sequence_length_minor ] are added to the method _build from the module texar/modules/encoders/hierarchical_encoders.py in class HierarchicalRNNEncoder'],38d8b5c4019a672779eb3817222b5eab4a295c1e,,,,,,,
